分支号	始节点	末节点	风量	风阻	阻力	是否固定	风机名称	可调节性	局部风阻	始末节点标高差	平均密度	附加阻力
125	190	561	7.023747	1.01352E-07	0.000005	0	0	可调	0	0	1.23	0
126	191	192	0.817554	0.002166385	0.001448	0	0	可调	0	0	1.23	0
127	191	106	12.645901	0.003534519	0.565236	0	0	可调	0	0	1.23	0
128	192	107	14.293013	0.004738019	0.967931	0	0	可调	0	0	1.23	0
129	193	191	13.463455	0.005272617	0.955739	0	0	可调	0	0	1.23	0
130	194	193	0.344323	0.002167709	0.000257	0	0	可调	0	0	1.23	0
131	194	192	13.475459	0.005272617	0.957444	0	0	可调	0	0	1.23	0
132	195	454	26.040604	0.005498537	3.72863	0	0	可调	0	0	1.23	0
133	196	201	13.227608	7.70019E-05	0.013473	0	0	可调	0	0	1.23	0
134	197	454	27	0.076954733	56.1	0	0	可调	0	0	1.23	0
135	198	199	6.744714	0.005349258	0.243344	0	0	可调	0	0	1.23	0
136	199	418	6.744714	0.003128805	0.142333	0	0	可调	0	0	1.23	0
137	2	668	40.93895	0.000706058	1.183352	0	0	可调	0	0	1.23	0
138	20	686	21.175136	0.004628232	2.075236	0	0	可调	0	0	1.23	0
139	200	667	108.785134	0.012014377	142.180607	0	0	可调	0	0	1.23	0
140	201	57	110.8	0.0016478	20.229447	0	0	可调	0	0	1.23	0
141	202	504	8.622577	0.126102462	9.375571	0	0	可调	0	0	1.23	0
142	203	196	8.522138	7.00017E-05	0.005084	0	0	可调	0	0	1.23	0
143	204	673	1.401027	0.000354582	0.000696	0	0	可调	0	0	1.23	0
144	204	196	4.705469	0.005206617	0.115282	0	0	可调	0	0	1.23	0
145	205	14	2.344665	0.006071356	0.033377	0	0	可调	0	0	1.23	0
146	206	432	40.999728	0.565147632	950.000565	0	0	可调	0	0	1.23	0
147	207	208	8.673268	0.010395719	0.782024	0	0	可调	0	0	1.23	0
148	207	445	5.768611	0.047209845	1.570996	0	0	可调	0	0	1.23	0
149	208	171	8.673268	0.01508673	1.134908	0	0	可调	0	0	1.23	0
150	209	614	4.961529	0.033638491	0.828071	0	0	可调	0	0	1.23	0
151	21	599	7.5	0.055644444	3.13	0	0	可调	0	0	1.23	0
152	21	601	2.757234	0.011240619	0.085455	0	0	可调	0	0	1.23	0
153	210	616	5.568286	0.011240636	0.348525	0	0	可调	0	0	1.23	0
154	210	617	4.961529	0.019409004	0.477787	0	0	可调	0	0	1.23	0
155	211	212	16.079298	0.094810329	24.512625	0	0	可调	0	0	1.23	0
156	212	608	16.079298	0.063713052	16.472616	0	0	可调	0	0	1.23	0
157	22	186	0.345366	0.011242674	0.001341	0	0	可调	0	0	1.23	0
158	22	21	10.259595	0.005631655	0.592784	0	0	可调	0	0	1.23	0
159	23	22	10.604961	0.004807025	0.540623	0	0	可调	0	0	1.23	0
160	24	23	10.537952	0.005199974	0.577449	0	0	可调	0	0	1.23	0
161	25	605	0.803446	0.00345455	0.00223	0	0	可调	0	0	1.23	0
162	250	2	16.305968	0.000809385	0.215203	0	0	可调	0	0	1.23	0
163	251	300	13.298248	0.000514003	0.090898	0	0	可调	0	0	1.23	0
164	251	250	16.305968	0.001706481	0.453727	0	0	可调	0	0	1.23	0
165	26	623	0.221182	0.008728273	0.000427	0	0	可调	0	0	1.23	0
166	27	624	0.411119	0.004650369	0.000786	0	0	可调	0	0	1.23	0
167	27	662	32.842427	0.024722524	26.666333	0	0	可调	0	0	1.23	0
168	28	29	1.396679	0.003106558	0.00606	0	0	可调	0	0	1.23	0
169	29	30	1.396679	0.003106558	0.00606	0	0	可调	0	0	1.23	0
170	3	5	12.558646	0.000925199	0.145922	0	0	可调	0	0	1.23	0
171	3	4	20.616719	0.000565401	0.240323	0	0	可调	0	0	1.23	0
172	30	35	0.618607	0.001560072	0.000597	0	0	可调	0	0	1.23	0
173	30	31	0.778072	0.005361779	0.003246	0	0	可调	0	0	1.23	0
174	300	175	1.249417	0.000565648	0.000883	0	0	可调	0	0	1.23	0
175	300	46	5.271687	0.001293995	0.035961	0	0	可调	0	0	1.23	0
176	300	53	6.777145	0.001050127	0.048232	0	0	可调	0	0	1.23	0
177	31	32	1.396679	0.001701942	0.00332	0	0	可调	0	0	1.23	0
178	32	33	1.396679	0.001475359	0.002878	0	0	可调	0	0	1.23	0
179	33	661	1.396679	0.001290811	0.002518	0	0	可调	0	0	1.23	0
180	34	625	2.769049	0.010436729	0.080025	0	0	可调	0	0	1.23	0
181	35	36	0.618607	0.005362258	0.002052	0	0	可调	0	0	1.23	0
182	36	31	0.618607	0.001560072	0.000597	0	0	可调	0	0	1.23	0
183	37	38	15.311162	0.050778452	11.904078	0	0	可调	0	0	1.23	0
184	38	39	15.311162	0.010210885	2.393755	0	0	可调	0	0	1.23	0
185	695	694	2.018217	0.003818619	0.015554	0	0	可调	0	0	1.23	0
186	695	655	29.609509	0.022726172	19.924558	0	0	可调	0	0	1.23	0
187	39	40	7.337153	0.008339814	0.448964	0	0	可调	0	0	1.23	0
188	39	42	7.974009	0.044431155	2.825147	0	0	可调	0	0	1.23	0
189	4	6	21.866136	0.000750833	0.358994	0	0	可调	0	0	1.23	0
190	40	41	7.337153	0.044431145	2.391898	0	0	可调	0	0	1.23	0
191	41	638	8.709852	0.013138927	0.996739	0	0	可调	0	0	1.23	0
192	42	41	1.372699	0.008339956	0.015715	0	0	可调	0	0	1.23	0
193	42	639	6.60131	0.01313893	0.572559	0	0	可调	0	0	1.23	0
194	43	44	32.207893	0.0002056	0.213279	0	0	可调	0	0	1.23	0
195	44	1	32.207893	0.001456162	1.510547	0	0	可调	0	0	1.23	0
196	696	579	24.535101	0.025416891	15.300236	0	0	可调	0	0	1.23	0
197	45	43	19.649247	0.0008738	0.337368	0	0	可调	0	0	1.23	0
198	45	2	24.632982	0.001445882	0.877338	0	0	可调	0	0	1.23	0
199	46	47	5.271687	0.000438456	0.012185	0	0	可调	0	0	1.23	0
200	47	48	5.271687	0.002115781	0.058799	0	0	可调	0	0	1.23	0
201	48	49	5.271687	0.000256921	0.00714	0	0	可调	0	0	1.23	0
