7243092	6210626	22
7243365	6210636	22
7243888	6210655	22
7244719	6210673	22
7245593	6210661	22
7246021	6210653	22
7246402	6210646	22
7247113	6210666	22
7248076	6210750	22
7249005	6210888	22
7249626	6211016	22
7249906	6211115	22
7250687	6211391	22
7251200	6211626	22
7251436	6211742	22
7251918	6211977	22
7252202	6212097	22
7252651	6212286	22
7253058	6212433	22
7253401	6212557	22
7254155	6212820	22
7254896	6213108	22
7255613	6213441	22
7256315	6213802	22
7257163	6214277	22
7257682	6214585	22
7258346	6215003	22
7258863	6215325	22
7259788	6215905	22
7260480	6216331	22
7261397	6216816	22
7262005	6217082	22
7262748	6217344	22
7262946	6217419	22
7197925	6192598	25
7198729	6192721	25
7199533	6192875	25
7200338	6193033	25
7201461	6193234	25
7203037	6193516	25
7204673	6193808	25
7206777	6194200	25
7208748	6194688	25
7210803	6195407	25
7211828	6195766	25
7212751	6196142	25
7214236	6196836	25
7215873	6197414	25
7217070	6197880	25
7218923	6198558	25
7220613	6199108	25
7222316	6199643	25
7222855	6199921	25
7225970	6200875	25
7226586	6201074	25
7227663	6201423	25
7230088	6201931	25
7233061	6202573	25
7233861	6202713	25
7235663	6203028	25
7236276	6203136	25
7239088	6203618	25
7240057	6203697	25
7242409	6203889	25
7243026	6203940	25
7243667	6204123	25
7244181	6204270	25
7244663	6204407	25
7245537	6204713	25
7246403	6205078	25
7247271	6205405	25
7247886	6205640	25
7248365	6205845	25
7249516	6206195	25
7250100	6206351	25
7250100	6206351	25
7250603	6206476	25
7251656	6206740	25
7252350	6206913	25
7252783	6207024	25
7254043	6207346	25
7255081	6207612	25
7255806	6207798	25
7256058	6207871	25
7257571	6208314	25
7259101	6208761	25
7259912	6208970	25
7260839	6209208	25
7261849	6209466	25
7263029	6209730	25
7264438	6210021	25
7267620	6210931	25
7268443	6211176	25
7268710	6210642	25
7267620	6210370	25
7266979	6210176	25
7265270	6209660	25
7263926	6209254	25
7263361	6209083	25
7262672	6208901	25
7261434	6208575	25
7260276	6208269	25
7259128	6207966	25
7257860	6207611	25
7255083	6206833	25
7254820	6206774	25
7252917	6206346	25
7251551	6206040	25
7250543	6205748	25
7250543	6205748	25
7249381	6205345	25
7248732	6205122	25
7248259	6204969	25
7247408	6204667	25
7246628	6204325	25
7245875	6203999	25
7244869	6203668	25
7243901	6203427	25
7243392	6203310	25
7242626	6203136	25
7242340	6203104	25
7241089	6202965	25
7239768	6202819	25
7239008	6202735	25
7238314	6202555	25
7236487	6202084	25
7233864	6201464	25
7231540	6200873	25
7228167	6200003	25
7225005	6199130	25
7222144	6198364	25
7220265	6197790	25
7217875	6196880	25
7214890	6196007	25
7212845	6195136	25
7210810	6194555	25
7209003	6194054	25
7206386	6193515	25
7204071	6192945	25
7201888	6192591	25
7200810	6192416	25
7199575	6192169	25
7198084	6191871	25
7186059	6200023	39
7190706	6202618	39
7191745	6203260	39
7193958	6204629	39
7194235	6204789	39
7195145	6205316	39
7195733	6205656	39
7195414	6205125	39
7194977	6204688	39
7194135	6203845	39
7192265	6202212	39
7187320	6198791	39
7205300	6217419	41
7204906	6216130	41
7204717	6215511	41
7204232	6215048	41
7203435	6214337	41
7201813	6213197	41
7200681	6212360	41
7200681	6212360	41
7201862	6211622	41
7202466	6211018	41
7203339	6210145	41
7204383	6208764	41
7205505	6206700	41
7204991	6207156	41
7204619	6207488	41
7203549	6208472	41
7202865	6209121	41
7202251	6209709	41
7201548	6210296	41
7201075	6210687	41
7200287	6211179	41
7199956	6211345	41
7199401	6211622	41
7199401	6211622	41
7199085	6211493	41
7198072	6211081	41
7197038	6210736	41
7196288	6210436	41
7195316	6210047	41
7194506	6209751	41
7193298	6209309	41
7193056	6209205	41
7191681	6208610	41
7189913	6207820	41
7189310	6207389	41
7188621	6206798	41
7188338	6206556	41
7187588	6205912	41
7186751	6205026	41
7186094	6204450	41
7184923	6205517	41
7186751	6207093	41
7188080	6208226	41
7189753	6209260	41
7191476	6210145	41
7193248	6211031	41
7195463	6211819	41
7198663	6213345	41
7199992	6214034	41
7201961	6214970	41
7202699	6215560	41
7203732	6217180	41
