分支号	风量	是否固定
216	0.638861	0
217	8.087366	0
218	7.777956	0
219	4.642908	0
220	0.996391	0
221	19.342591	0
222	0.352212	0
223	4.085036	0
224	6.452114	0
225	1.28754	0
226	13.415454	0
227	94.873263	0
228	2.068765	0
229	92.804499	0
230	2.068765	0
231	4.566688	0
232	0.384231	0
233	37.493972	0
234	22.790978	0
235	14.702994	0
236	37.878203	0
237	54.926295	0
238	17.716719	0
239	37.209576	0
240	1.475565	0
241	0.5932	0
242	7.147012	0
243	33.18647	0
244	33.18647	0
245	47.666949	0
246	103.240601	0
247	16.61552	0
248	95.469336	0
249	246.95	0
250	19.039955	0
251	22.925936	0
252	40.04284	0
253	1.374585	0
254	2.807427	0
255	1.374585	0
256	1.374585	0
257	1.374585	0
258	16.61552	0
259	4.182012	0
260	25.779118	0
261	30.02246	0
262	14.441879	0
263	28.984646	0
264	105.045233	0
265	6.744714	0
266	7.697166	0
267	14.441879	0
268	14.441879	0
269	3.963755	0
270	10.478124	0
271	4	0
272	0.359971	0
273	29.662489	0
274	14.441879	0
275	22.489413	0
276	23.715863	0
277	25.11287	0
278	38.651129	0
279	82.920634	0
280	44.269505	0
281	13.538259	0
282	16.790478	0
283	1.397007	0
284	30.328737	0
285	1.22645	0
286	31.725744	0
287	12.011289	0
288	32.952194	0
289	1.96985	0
290	29.448877	0
291	0.173838	0
292	29.622715	0
293	83.1	0
294	1.987105	0
295	29.6	0
296	3.956956	0
297	119.654133	0
298	12.246658	0
299	13.53246	0
300	14.44	0
301	11.337238	0
302	11.33	0
303	41	0
304	5.768611	0
305	1.723323	0
306	44.282229	0
307	33.175365	0
308	29.604216	0
309	1.140963	0
310	52.661364	0
311	0.479663	0
312	0.6613	0
313	13.651545	0
314	18.035447	0
315	34.625916	0
316	1.37237	0
317	33.253546	0
318	2.769049	0
319	0.218576	0
320	32.623851	0
321	0.216496	0
322	32.407354	0
323	0.205356	0
324	32.201998	0
325	0.43666	0
326	31.765338	0
327	40.381312	0
328	0.56	0
329	60.268176	0
330	0.684428	0
331	59.583748	0
332	7.10306	0
333	52.480688	0
334	7.014419	0
335	45.466269	0
336	67.386031	0
337	74.489091	0
338	74.489091	0
339	78.298408	0
340	3.124888	0
341	1.106671	0
342	28.502838	0
343	18.818804	0
344	13.9	0
345	78.735068	0
346	78.940424	0
347	79.423054	0
348	79.63955	0
349	80.077122	0
350	80.298304	0
351	80.709423	0
352	83.478472	0
353	97.572392	0
354	14.093921	0
355	47.861695	0
356	13.171882	0
357	3.365011	0
358	0.619066	0
359	6.724886	0
360	2.745945	0
361	6.106496	0
362	9.806871	0
363	9.38262	0
364	8.087366	0
365	7.343953	0
366	8.852441	0
367	16.839755	0
368	5.433342	0
369	10.114869	0
370	59.200116	0
371	0.424251	0
372	15.548211	0
373	7.26261	0
374	0.319435	0
375	0.319426	0
376	4.794481	0
377	0.319435	0
378	20.338982	0
379	1.295254	0
380	15.544501	0
381	0.442375	0
382	1.396679	0
383	16.196393	0
384	3.053124	0
385	56.146991	0
386	4.454151	0
387	2.344665	0
388	53.802327	0
389	2.344665	0
390	4.437248	0
391	14.905343	0
392	10.7	0
393	3.190859	0
394	10.53	0
395	13.720673	0
396	11.9	0
397	5.144058	0
398	9.33	0
399	2.599266	0
400	17.835977	0
401	4.2	0
402	3.402712	0
403	0.803446	0
404	17	0
405	0.784666	0
406	8.099089	0
407	24.967136	0
408	0.338172	0
409	0.446495	0
410	20.833745	0
411	0.34	0
412	20.495573	0
413	15.63	0
414	36.128377	0
415	36.128377	0
416	36.128377	0
417	16.600861	0
418	57.171147	0
419	0.521562	0
420	2.293924	0
421	41.744241	0
422	59.46507	0
423	19.866872	0
424	36.128377	0
425	16.261505	0
